Date,3Mo,6Mo,1Yr,2Yr,3Yr,4Yr,5Yr,7Yr,10Yr,30Yr
9/24/1990,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
9/25/1990,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
9/26/1990,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
9/27/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
9/28/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/1/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/2/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/3/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/4/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/5/1990,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/9/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/10/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/11/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
10/12/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/15/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/16/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/17/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/18/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/19/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
10/22/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/23/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/24/1990,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/25/1990,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
10/26/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
10/29/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/30/1990,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09
10/31/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09
11/1/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
11/2/1990,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
